title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_major_label
배신감,223000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
사나이 가는 길 (부제:폼생폼사),240000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
사랑 신고식,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
사랑하는 너에게,235000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
젝키의 크리스마스,233000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
탈출,221000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
하얀밤에,253000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False
확인,238000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False
Baby Baby Baby,247000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
멀리있는 너에게,227000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
슬픈인사,226000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
애상,304000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
추억,205000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
하늘색 꿈,206000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,True
1TYM,210626.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
Falling in Love,205933.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
Good Love,222626.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
Heaven,199706.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
My Life,223466.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
나를 기다려,218360.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
널 일으켜,216466.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
뭘 위한 세상인가,204933.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
탈출,216106.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,True
Blue Rain,261000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
Shadow,247000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
가,215000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
낙서,223000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
내 남자 친구에게,238000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
루비 (漏悲) 슬픈눈물,252000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
블루데이,218000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
사랑의 향기,251000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
윙크,205000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
유혹,208000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
행복한 약속,217000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False
Intro,67000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
관찰,216000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
나쁜 여자,253000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
난 너에게,204000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
날 기다려줘,257000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
니가 다시 돌아올 수 있도록,243000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
약속,217000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
어머님께,256000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
작은 남자들과 함께,203000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False
H.O.T. (House Of Trust) -아빠 사랑해요-,195000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
In-I -이 세상에 버려진 모든 아이들을 위하여...-,320000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
Monade,258000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
Techno Love,253000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
Wedding X-Mas,285000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
You Got Gun?,255000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
"鬪魂 (투혼, The Spirit of Fighter)",246000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
빛 (Hope),255000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
"소년이여! 신화가 되어라 (Boys, Be a Legend!)",250000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
열맞춰! (Line Up!),247000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
우리들의 맹세 (The promise of H.O.T),263000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
하나라는 아름다운 느낌 (Unity is as beautiful as one),245000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
홀로서기 (All Alone),224000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
후에... (Since you've gone),248000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,True
Throw Them Hands Up,210933.0,"JINUSEAN, Perry, MF New Group",The Real,,,KR,1998-01-05,YG Entertainment,JINUSEAN,1998,True
"Like This, Like That",208760.0,"JINUSEAN, 조원선",The Real,,,KR,1998-01-05,YG Entertainment,JINUSEAN,1998,True
#,73000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,True
