title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
Off Shot Clip,,SUPER JUNIOR,Mr.Simple,,,JP,2011-12-07,SM Entertainment,SUPER JUNIOR,2011,False,True
Walkin',227000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
Y,208000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
サークルKサンクスCM撮影 Sketch,,SUPER JUNIOR,美人(BONAMANA),,,JP,2011-06-08,SM Entertainment,SUPER JUNIOR,2011,False,True
美人 (BONAMANA),241000.0,SUPER JUNIOR,美人(BONAMANA),,,JP,2011-06-08,SM Entertainment,SUPER JUNIOR,2011,False,True
결투 (Feels Good),199000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
고백 (Confession),189000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
기억을 따라 (Memories),251000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
내가 너의 곁에 잠시 살았다는 걸,233000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
너 아니면 안돼,229000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
"똑똑똑 (KNOCK, KNOCK, KNOCK)",243000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
아이돌이 헤어지는 방법,184000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
안단테 (Andante),187000.0,SUPER JUNIOR,A-CHA,,,KR,2011-09-19,SM Entertainment,SUPER JUNIOR,2011,False,True
어느새 우린 (Good Friends),237000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
엉뚱한 상상 (White Christmas),217000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
챔피언,154000.0,SUPER JUNIOR,Super Show 3: The 3rd Asia Tour,,,KR,2011-10-24,SM Entertainment,SUPER JUNIOR,2011,False,True
폭풍 (Storm),257000.0,SUPER JUNIOR,Mr.Simple,,,KR,2011-08-03,SM Entertainment,SUPER JUNIOR,2011,False,True
Santa U Are the One,216000.0,"SUPER JUNIOR, HENRY, 周觅",2011 SMTOWN Winter 'The Warmest Gift',,,XW,2011-12-13,SM Entertainment,SUPER JUNIOR,2011,False,True
Oops!!,225000.0,"SUPER JUNIOR, f(x)",A-CHA,,,KR,2011-09-19,SM Entertainment,SUPER JUNIOR,2011,False,True
첫사랑 (First Love),125000.0,SUPER JUNIOR-D&E,"떴다 오빠 (Oppa, Oppa)",,,KR,2011-12-16,SM Entertainment,SUPER JUNIOR-D&E,2011,False,True
Fly,,SUPER JUNIOR-K.R.Y.,fly,,,KR,2011-04-15,SM Entertainment,SUPER JUNIOR-K.R.Y.,2011,False,True
True Love,254000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
吹一樣的風,214000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
命運線,288000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
太完美,208000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
幸福微甜,273000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
表白,220000.0,SUPER JUNIOR-M,太完美,,,TW,2011-02-25,SM Entertainment,SUPER JUNIOR-M,2011,False,True
西風的話,,SUPER JUNIOR-M,太完美,,,KR,2011-04-29,SM Entertainment,SUPER JUNIOR-M,2011,False,True
AMAZINGER,211000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
Bastard,218000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
CHRISTMAS MAGIC (Starlight Moonlight),237000.0,Secret,Shy Boy,,,JP,2011-11-16,Rainbow Bridge World,Secret,2011,False,False
Don't Laugh (웃지좀마),223000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
I Hope (바래),219000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
La La La,229000.0,Secret,Shy Boy,,,JP,2011-11-16,Rainbow Bridge World,Secret,2011,False,False
Love is Move (사랑은 Move),200000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
Movie Star,198000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
Neverland,211000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
No. 1,205000.0,Secret,Shy Boy,,,KR,2011-01-06,Rainbow Bridge World,Secret,2011,False,False
Sexy (섹시하게),205000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
Shy Boy,218000.0,Secret,Shy Boy,,,KR,2011-01-06,Rainbow Bridge World,Secret,2011,False,False
Together,221000.0,Secret,Moving in Secret,,,KR,2011-10-18,Rainbow Bridge World,Secret,2011,False,False
笑わないで,225000.0,Secret,Shy Boy,,,JP,2011-11-16,Rainbow Bridge World,Secret,2011,False,False
멜로영화,192000.0,Secret,별빛달빛,,,KR,2011-06-01,Rainbow Bridge World,Secret,2011,False,False
별빛달빛,234000.0,Secret,별빛달빛,,,KR,2011-06-01,Rainbow Bridge World,Secret,2011,False,False
오! 허니,173000.0,Secret,별빛달빛,,,KR,2011-06-01,Rainbow Bridge World,Secret,2011,False,False
핑크빛 로맨스 (Pink Romance),209000.0,Starship Planet,Pink Romance,,,,2011-11-25,Starship Entertainment,Starship Planet,2011,False,False
겨울아이,219000.0,Suzy,드림하이 OST Part.4,,,KR,2011-01-19,JYP Entertainment,Suzy,2011,True,True
Trouble Maker,219000.0,Trouble Maker,Trouble Maker,,,KR,2011-12-01,Cube Entertainment,Trouble Maker,2011,False,False
듣기 싫은 말,195000.0,Trouble Maker,Trouble Maker,,,KR,2011-12-01,Cube Entertainment,Trouble Maker,2011,False,False
아무렇지 않니,177000.0,Trouble Maker,Trouble Maker,,,KR,2011-12-01,Cube Entertainment,Trouble Maker,2011,False,False
Time,209000.0,"Trouble Maker, 라도",Trouble Maker,,,KR,2011-12-01,Cube Entertainment,Trouble Maker,2011,False,False
Cry Cry,198000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,Core Contents Media,T‐ARA,2011,False,False
"Goodbye, OK",185000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,Core Contents Media,T‐ARA,2011,False,False
I'm So Bad,192000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,Core Contents Media,T‐ARA,2011,False,False
Log-in,207000.0,T‐ARA,Log-in,,,XW,2011-09-15,Core Contents Media,T‐ARA,2011,False,False
LOVE ME! ～あなたのせいで狂いそう,196000.0,T‐ARA,Bo Peep Bo Peep,,,JP,2011-09-28,Core Contents Media,T‐ARA,2011,False,False
O My God,246000.0,T‐ARA,Black Eyes,,,KR,2011-11-01,Core Contents Media,T‐ARA,2011,False,False
Roly-Poly,214000.0,T‐ARA,John Travolta Wanna Be,,,KR,2011-06-29,Core Contents Media,T‐ARA,2011,False,False
진짜 진짜 좋아해,207000.0,T‐ARA,John Travolta Wanna Be,,,KR,2011-06-29,Core Contents Media,T‐ARA,2011,False,False
Beautiful Girl,194227.0,"T‐ARA, Electroboyz",Beautiful Girl,,,KR,2011-02-10,Core Contents Media,T‐ARA,2011,False,False
Fly So High,253000.0,U-CUBE,Fly So High,,,XW,2011-07-20,Cube Entertainment,U-CUBE,2011,False,False
0330,209000.0,U-KISS,Bran New KISS,,,KR,2011-03-30,NH Media,U-KISS,2011,False,False
Baby Don't Cry,192000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Coincidence,230000.0,U-KISS,Tick Tack,,,JP,2011-12-14,NH Media,U-KISS,2011,False,False
Every Day,206000.0,U-KISS,Bran New KISS,,,KR,2011-03-30,NH Media,U-KISS,2011,False,False
I Don't Understand,195000.0,U-KISS,Bran New KISS,,,KR,2011-03-30,NH Media,U-KISS,2011,False,False
Miracle,188000.0,U-KISS,Bran New KISS,,,KR,2011-03-30,NH Media,U-KISS,2011,False,False
Never Land,214000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Obsession,228000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
On the Floor,212000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Someday,241000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Take Me Away,214000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Tick Tack,220387.0,U-KISS,Tick Tack,,,JP,2011-12-14,NH Media,U-KISS,2011,False,False
TOP THAT,188000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
내게 아픈 말은...,208000.0,U-KISS,Bran New KISS,,,KR,2011-03-30,NH Media,U-KISS,2011,False,False
친구의 사랑,245000.0,U-KISS,Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
평생 (For Kiss Me),240980.0,U-KISS,평생 (For Kiss Me),,,KR,2011-12-22,NH Media,U-KISS,2011,False,False
다시 만나요,415000.0,"U-KISS, PARAN",Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Tell Me Y,195000.0,"U-KISS, SWIN",Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
4월 이야기,207000.0,"U-KISS, 은영",Neverland,,,KR,2011-08-26,NH Media,U-KISS,2011,False,False
Be My Baby,212000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Dear. Boy,193000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
G.N.O.,211000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Girls Girls,215000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
K-Food Party,260499.0,Wonder Girls,K-Food Party,,,KR,2011-12-03,JYP Entertainment,Wonder Girls,2011,False,True
"Me, In",195000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Nu Shoes,210000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Stop!,203000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
SuperB,201000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Sweet Dreams,215000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
두고두고,227000.0,Wonder Girls,Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
Act Cool,214000.0,"Wonder Girls, San E",Wonder World,,,KR,2011-11-07,JYP Entertainment,Wonder Girls,2011,False,True
"1, 2, 3",262000.0,f(x),2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,SM Entertainment,f(x),2011,False,True
Beautiful Goodbye,247000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
Gangsta Boy,189000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
Hot Summer,225000.0,f(x),Hot Summer,,,KR,2011-06-14,SM Entertainment,f(x),2011,False,True
My Style,222000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
So Into U,215000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
Stand Up!,236000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
깔라까바나,182000.0,f(x),퍼즐버블 온라인 `깔라까바나` OST,,,KR,2011-08-16,SM Entertainment,f(x),2011,True,True
아이 (Love),195000.0,f(x),Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
좋아해도 되나요 (...Is It OK?),192000.0,f(x),Hot Summer,,,KR,2011-06-14,SM Entertainment,f(x),2011,False,True
Lollipop,190000.0,"f(x), SHINee",Pinocchio,,,KR,2011-04-20,SM Entertainment,f(x),2011,False,True
Good-bye Baby,225000.0,miss A,A Class,,,KR,2011-07-18,JYP Entertainment,miss A,2011,False,True
Help Me,197000.0,miss A,A Class,,,KR,2011-07-18,JYP Entertainment,miss A,2011,False,True
Love Alone,211000.0,miss A,Love Alone,,,KR,2011-05-02,JYP Entertainment,miss A,2011,False,True
Mr. Johnny,185000.0,miss A,A Class,,,KR,2011-07-18,JYP Entertainment,miss A,2011,False,True
再爱一次,206000.0,miss A,A Class,,,TW,2011-10-14,JYP Entertainment,miss A,2011,False,True
하나부터 열까지,216000.0,miss A,A Class,,,KR,2011-07-18,JYP Entertainment,miss A,2011,False,True
Nostalgia (노스텔지아),264000.0,"가인, Eric",Nostalgia (노스텔지아),,,KR,2011-11-30,Nega Network,가인,2011,True,False
One Love,221000.0,가희,Please come back,,,,2011-02-14,Pledis Entertainment,가희,2011,False,True
돌아와 나쁜 너,185000.0,가희,Please come back,,,,2011-02-14,Pledis Entertainment,가희,2011,False,True
롤러코스터,228000.0,가희,Please come back,,,,2011-02-14,Pledis Entertainment,가희,2011,False,True
선물,258000.0,가희,Please come back,,,,2011-02-14,Pledis Entertainment,가희,2011,False,True
눈이 내리네,,간미연,Obsession,,,,2011-09-29,Source Music,간미연,2011,False,True
안만나,,간미연,Obsession,,,,2011-09-29,Source Music,간미연,2011,False,True
제발,,간미연,Obsession,,,,2011-09-29,Source Music,간미연,2011,False,True
바보같은 여자라,239333.0,"간미연, BTS",Watch,,,XW,2011-02-17,Source Music,간미연,2011,False,True
파파라치,206628.0,"간미연, Eric",Watch,,,XW,2011-02-17,Source Music,간미연,2011,False,True
Sunshine,235990.0,"간미연, Junk",Watch,,,XW,2011-02-17,Source Music,간미연,2011,False,True
미쳐가,215745.0,"간미연, 미르",Watch,,,XW,2011-02-17,Source Music,간미연,2011,False,True
Lunatic,181000.0,강대성,"What's Up OST, Part 1",,,KR,2011-12-03,YG Entertainment,강대성,2011,True,True
Arrow,276000.0,강타,Arrow,,,GB,2011-01-18,SM Entertainment,강타,2011,False,True
For the First Time,281000.0,강타,2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,SM Entertainment,강타,2011,False,True
헤어지는 방법,236000.0,규현,포세이돈 OST Part 2,,,KR,2011-12-11,SM Entertainment,규현,2011,True,True
Get Ya' Luv,199000.0,김규종,Turn Me On,,,KR,2011-09-24,B2M Entertainment,김규종,2011,False,False
No More Yes,204000.0,김규종,Turn Me On,,,KR,2011-09-24,B2M Entertainment,김규종,2011,False,False
Yesterday,208000.0,김규종,Turn Me On,,,KR,2011-09-24,B2M Entertainment,김규종,2011,False,False
My Love,201000.0,"김규종, 허영생",Turn Me On,,,KR,2011-09-24,B2M Entertainment,김규종,2011,False,False
Because,233000.0,김성규,Over The Top,,,KR,2011-07-21,Woollim Entertainment,김성규,2011,False,False
Do You Like That,137000.0,김현중,Lucky,,,KR,2011-10-10,LOEN Entertainment,김현중,2011,False,False
Intro (Let Me Go),103000.0,김현중,Break Down,,,US,2011-06-07,LOEN Entertainment,김현중,2011,False,False
Kiss Kiss,224000.0,김현중,Break Down,,,US,2011-06-07,LOEN Entertainment,김현중,2011,False,False
Lucky Guy,199000.0,김현중,Lucky,,,KR,2011-10-10,LOEN Entertainment,김현중,2011,False,False
Marry Me,,김현중,Marry Me,,,KR,2011-12-15,LOEN Entertainment,김현중,2011,False,False
Marry You,,김현중,Marry Me,,,KR,2011-12-15,LOEN Entertainment,김현중,2011,False,False
U,218000.0,김현중,Lucky,,,KR,2011-10-10,LOEN Entertainment,김현중,2011,False,False
Yes I Will,206000.0,김현중,Break Down,,,US,2011-06-07,LOEN Entertainment,김현중,2011,False,False
나는 네 남자야,258000.0,김현중,Lucky,,,KR,2011-10-10,LOEN Entertainment,김현중,2011,False,False
웃어요 (Smile),181000.0,김현중,Lucky,,,KR,2011-10-10,LOEN Entertainment,김현중,2011,False,False
제발 (Please),211000.0,김현중,Break Down,,,US,2011-06-07,LOEN Entertainment,김현중,2011,False,False
Break Down,211000.0,"김현중, Double K",Break Down,,,US,2011-06-07,LOEN Entertainment,김현중,2011,False,False
시간아,270000.0,남우현,Over The Top,,,KR,2011-07-21,Woollim Entertainment,남우현,2011,False,False
Amazing,297000.0,"다나, Sunday",2011 SMTOWN Winter ’The Warmest Gift’,,,XW,2011-12-13,SM Entertainment,다나,2011,False,True
Intro,45000.0,더블에이,미쳐서 그래,,,KR,2011-11-03,LOEN Entertainment,더블에이,2011,False,False
미쳐서 그래,218000.0,더블에이,미쳐서 그래,,,KR,2011-11-03,LOEN Entertainment,더블에이,2011,False,False
불러,191000.0,더블에이,미쳐서 그래,,,KR,2011-11-03,LOEN Entertainment,더블에이,2011,False,False
Dreams Come True,204000.0,"동해, 서현",Dreams Come True,,,KR,2011-10-11,SM Entertainment,동해,2011,False,True
첫 사랑,125000.0,"동해, 은혁",떴다 오빠,,,KR,2011-12-16,SM Entertainment,동해,2011,False,True
If you love me more,234626.0,려욱,Spy Myung Wol Pt. 3 (Original Television Soundtrack),,,XW,2011-07-18,SM Entertainment,려욱,2011,True,True
사랑하게 되는 날,226000.0,박신혜,사랑하게 되는 날,,,,2011-06-29,FNC Entertainment,박신혜,2011,False,False
One Kiss,214000.0,손담비,K.O Sound Compilation Series vol.2,,,KR,2011-01-31,Pledis Entertainment,손담비,2011,False,True
Magic,199000.0,승리,VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
Outro (In My World),123000.0,승리,VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
VVIP,216000.0,승리,VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
White Love,223000.0,승리,VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
어쩌라고,217000.0,승리,VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
창문을 열어,215000.0,"승리, G‐Dragon",VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
I Know,205000.0,"승리, IU",VVIP,,,KR,2011-01-20,YG Entertainment,승리,2011,False,True
널 기다리며 (Waiting For You),,예성,파라다이스 목장 Part 2,,,KR,2011-01-31,SM Entertainment,예성,2011,False,True
Honey Funny Bunny,199000.0,유노윤호,Keep Your Head Down,,,KR,2011-01-05,SM Entertainment,유노윤호,2011,False,True
Break Up,193000.0,"이기광, Electroboyz",Break Up,,,KR,2011-07-14,Around US Entertainment,이기광,2011,False,False
As Long As I Love You,286000.0,이효리,Dark Angel LH,,,,2011-09-10,B2M Entertainment,이효리,2011,False,False
Don't Love Her,210000.0,이효리,Dark Angel LH,,,,2011-09-10,B2M Entertainment,이효리,2011,False,False
Toc Toc Toc,252000.0,이효리,Dark Angel LH,,,,2011-09-10,B2M Entertainment,이효리,2011,False,False
Because I Miss You,275000.0,정용화,Heartstrings Soundtrack,,,,2011,FNC Entertainment,정용화,2011,False,False
See My Eyes,191000.0,정용화,Heartstrings Soundtrack,,,,2011,FNC Entertainment,정용화,2011,False,False
넌 내게 반했어,191000.0,정용화,넌 내게 반했어 OST Part 1,,,KR,2011-06-29,FNC Entertainment,정용화,2011,True,False
처음 사랑하는 연인들을 위해 (반말송),214000.0,정용화,처음 사랑하는 연인들을 위해 (반말송),,,KR,2011-01-14,FNC Entertainment,정용화,2011,False,False
Psycho,240000.0,정진운,지금이 아니면,,,KR,2011-11-17,JYP Entertainment,정진운,2011,False,True
걸어온다,228000.0,정진운,걸어온다,,,KR,2011-08-01,JYP Entertainment,정진운,2011,False,True
라라라,245000.0,정진운,걸어온다,,,KR,2011-08-01,JYP Entertainment,정진운,2011,False,True
지금이 아니면,250000.0,정진운,지금이 아니면,,,KR,2011-11-17,JYP Entertainment,정진운,2011,False,True
나 좀 봐줘 (One More Chance),233000.0,천상지희 다나&선데이,나 좀 봐줘 (One More Chance),,,XW,2011-07-11,SM Entertainment,천상지희 다나&선데이,2011,False,True
By Your Side,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
Fly To The Top,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
For You,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
Here We Go,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
Shining☆Star,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
U Are The ONE,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
クリウンナレ -キミに会いたくて-,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
メキ☆ラブ,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
君が消えなくて,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
君だけは離さない,,초신성,4U,,,JP,2011-10-12,Core Contents Media,초신성,2011,False,False
고백 (Confession),236000.0,최강창민,Keep Your Head Down,,,KR,2011-01-05,SM Entertainment,최강창민,2011,False,True
죽을만큼,226000.0,최진혁,"괜찮아, 아빠딸 OST Part 4",,,KR,2011-01-17,FNC Entertainment,최진혁,2011,True,False
Better Day,288261.0,클로버,Classic Over,,,KR,2011-03-31,GYM Entertainment,클로버,2011,False,False
Clover Style,233325.0,클로버,Classic Over,,,KR,2011-03-31,GYM Entertainment,클로버,2011,False,False
ICE트림,226403.0,클로버,Classic Over,,,KR,2011-03-31,GYM Entertainment,클로버,2011,False,False
La Vida Loca (라 비다 로카),204000.0,클로버,Classic Over,,,KR,2011-03-31,GYM Entertainment,클로버,2011,False,False
아는 오빠,198870.0,클로버,A Guy Who I Know,,,,2011-09-29,GYM Entertainment,클로버,2011,False,False
I'm Broken,229973.0,허영생,Let It Go,,,KR,2011-05-12,B2M Entertainment,허영생,2011,False,False
슬픈 노래는,,허영생,보스를 지켜라 OST Part 7,,,KR,2011-08-31,B2M Entertainment,허영생,2011,True,False
입술에 맺힌 말,,허영생,발효가족 OST Part 2,,,KR,2011-12-28,B2M Entertainment,허영생,2011,True,False
Let It Go,199986.0,"허영생, HyunA",Let It Go,,,KR,2011-05-12,B2M Entertainment,허영생,2011,False,False
Rainy Heart,225533.0,"허영생, 김규종",Let It Go,,,KR,2011-05-12,B2M Entertainment,허영생,2011,False,False
Out The Club,201906.0,"허영생, 태완",Let It Go,,,KR,2011-05-12,B2M Entertainment,허영생,2011,False,False
Music,227000.0,휘성,놈들이 온다,,,KR,2011-10-10,YG Entertainment,휘성,2011,False,True
Oh Lonely,243000.0,휘성,놈들이 온다,,,KR,2011-10-10,YG Entertainment,휘성,2011,False,True
OJ,166000.0,휘성,놈들이 온다,,,KR,2011-10-10,YG Entertainment,휘성,2011,False,True
UUU,235000.0,휘성,놈들이 온다,,,KR,2011-10-10,YG Entertainment,휘성,2011,False,True
놈들이 온다,214000.0,휘성,놈들이 온다,,,KR,2011-10-10,YG Entertainment,휘성,2011,False,True
설마,247000.0,휘성,가슴 시린 이야기,,,KR,2011-03-15,YG Entertainment,휘성,2011,False,True
아는 사람,225000.0,휘성,가슴 시린 이야기,,,KR,2011-03-15,YG Entertainment,휘성,2011,False,True
I Dream,275000.0,15&,I Dream,,,KR,2012-10-05,JYP Entertainment,15&,2012,False,True
1초만 더,223000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
Birthday,235000.0,2AM,For you ～君のためにできること～,,,JP,2012-09-12,JYP Entertainment,2AM,2012,False,True
Everything,407000.0,2AM,誰にも渡せないよ,,,JP,2012-12-05,JYP Entertainment,2AM,2012,False,True
For you ～君のためにできること～,244000.0,2AM,For you ～君のためにできること～,,,JP,2012-09-12,JYP Entertainment,2AM,2012,False,True
Missing,250000.0,2AM,Never let you go ～死んでも離さない～,,,JP,2012-01-11,JYP Entertainment,2AM,2012,False,True
Never let you go ～死んでも離さない～,196000.0,2AM,Never let you go ～死んでも離さない～,,,JP,2012-01-11,JYP Entertainment,2AM,2012,False,True
Winter gift,245000.0,2AM,誰にも渡せないよ,,,JP,2012-12-05,JYP Entertainment,2AM,2012,False,True
壊れそう,173000.0,2AM,電話に出ない君に,,,JP,2012-04-11,JYP Entertainment,2AM,2012,False,True
最愛,313000.0,2AM,For you ～君のためにできること～,,,JP,2012-09-12,JYP Entertainment,2AM,2012,False,True
瞳をとじて,355000.0,2AM,電話に出ない君に,,,JP,2012-04-11,JYP Entertainment,2AM,2012,False,True
笑ってあげられなくてごめん,183000.0,2AM,Never let you go ～死んでも離さない～,,,JP,2012-01-11,JYP Entertainment,2AM,2012,False,True
誰にも渡せないよ,335000.0,2AM,誰にも渡せないよ,,,JP,2012-12-05,JYP Entertainment,2AM,2012,False,True
電話に出ない君に,237000.0,2AM,電話に出ない君に,,,JP,2012-04-11,JYP Entertainment,2AM,2012,False,True
내꺼였는데,209000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
너도 나처럼,228000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
사랑해 사랑해,201000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
잘 이별하기,220000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
추억 다 지워,206000.0,2AM,F. Scott Fitzgerald's Way of Love,,,US,2012-03-12,JYP Entertainment,2AM,2012,False,True
Be Mine,,2NE1,Be Mine,,,KR,2012,YG Entertainment,2NE1,2012,False,True
FOLLOW ME,187786.0,2NE1,COLLECTION,,,JP,2012-03-28,YG Entertainment,2NE1,2012,False,True
I Love You,237000.0,2NE1,I Love You,,,KR,2012-07-05,YG Entertainment,2NE1,2012,False,True
LIKE A VIRGIN,253680.0,2NE1,COLLECTION,,,JP,2012-03-28,YG Entertainment,2NE1,2012,False,True
LOVE IS OUCH,232746.0,2NE1,COLLECTION,,,JP,2012-03-28,YG Entertainment,2NE1,2012,False,True
SCREAM,222470.0,2NE1,COLLECTION,,,AL,2012-03-28,YG Entertainment,2NE1,2012,False,True
THE VACATION in PHILIPPINES,1150000.0,2NE1,I LOVE YOU,,,JP,2012-09-19,YG Entertainment,2NE1,2012,False,True
Alive,,2PM,2PM BEST ～2008-2011 in Korea～,,,JP,2012-03-14,JYP Entertainment,2PM,2012,False,True
Beautiful,239000.0,2PM,Beautiful,,,JP,2012-06-06,JYP Entertainment,2PM,2012,False,True
Forever,275000.0,2PM,Masquerade,,,JP,2012-11-14,JYP Entertainment,2PM,2012,False,True
