title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
Walking in the Rain,297000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
거절의 이유,215000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
겨울편지,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
기사도,223000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
기억해 줄래,244000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
다같이 해요,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
돌연변이,211000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
동급생,184000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
말괄량이 길들이기,201000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
미성년자 관람불가,227000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
미인추방,230000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
배신감,223000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
사나이 가는 길 (부제:폼생폼사),240000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
사랑 신고식,212000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
사랑하는 너에게,235000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
