Year,Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
1998,Shy Boy,S.E.S.,3,False,"s.e.s. (에스이에스) - ""shy boy"" lyrics (color coded han/rom/eng)",shooddenly,https://www.youtube.com/watch?v=-dZ69ALEC60
1998,美,S#arp,2,True,beauty,s#arp - topic,https://www.youtube.com/watch?v=vmMPBURKspU
1998,너를 사랑해,S.E.S.,3,False,"s.e.s - ""i love you (너를 사랑해)"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=5s7biG4feM8
1998,Unchained Melody,S#arp,0,True,unchained melody,s#arp - topic,https://www.youtube.com/watch?v=_mGtAvois90
1998,悲歌,S.E.S.,0,True,悲歌,s.e.s. - topic,https://www.youtube.com/watch?v=eDys8DDu16g
1998,Yes,S#arp,1,True,샵 (s#arp) - yes,the s#arp,https://www.youtube.com/watch?v=0-dRbFIlEhw
1998,Eternal Love,S.E.S.,1,True,eternal love,s.e.s. - topic,https://www.youtube.com/watch?v=XbfuFbt06zE
1998,"Snow, X-mas",S.E.S.,1,True,"snow, x-mas",s.e.s. - topic,https://www.youtube.com/watch?v=U5rOla2L12I
1998,善,S#arp,7,True,may i forget,s#arp - topic,https://www.youtube.com/watch?v=qIG2jro0uiU
1998,Believe in Love,S.E.S.,2,True,believe in love,s.e.s. - topic,https://www.youtube.com/watch?v=uEve_1koGRU
1998,눈물,S#arp,5,True,샵 (s#arp) - 눈물,the s#arp,https://www.youtube.com/watch?v=iqM4GqI2W0s
1998,Kiss,S.E.S.,1,True,kiss,s.e.s. - topic,https://www.youtube.com/watch?v=MJGeEG9AQkg
1998,7전8기,SECHSKIES,0,False,젝스키스(sechs kies) 7전 8기 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=IpAgelgHUA8
1998,느낌,S.E.S.,1,True,느낌,s.e.s. - topic,https://www.youtube.com/watch?v=AksrK2rLDMg
1998,약속,G.O.D,0,False,지오디(god) 약속 (narration 강경헌) (가사 첨부),hankook nore,https://www.youtube.com/watch?v=woHVIglPP_E
1998,Come To Me Baby,SECHSKIES,0,True,come to me baby (come to me baby),sechskies,https://www.youtube.com/watch?v=meGZo6KJiBY
1998,비상구,SHINHWA,2,True,shinhwa (신화) - emergency exit (비상구),shinhwasubs&cuts,https://www.youtube.com/watch?v=8edAi25xQTk
1998,작은 남자들과 함께,G.O.D,0,False,god (지오디) - with little men (작은 남자들과 함께) lyrics [color coded han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=7k-SjnJmGKg
1998,Celebrate Tonight,SECHSKIES,0,True,celebrate tonight (celebrate tonight),sechskies,https://www.youtube.com/watch?v=BVdGDwB1MqI
1998,니가 다시 돌아올 수 있도록,G.O.D,0,True,so you can come back to me (니가 다시 돌아올 수 있도록) (prod. yoon kye sang)...,g.o.d - topic,https://www.youtube.com/watch?v=J77VbiOevbU
1998,어머님께,G.O.D,7,True,어머니께 (어머니께),g.o.d - topic,https://www.youtube.com/watch?v=drrrrJsKfec
1998,Techno Love,H.O.T.,0,True,techno love,h.o.t. - topic,https://www.youtube.com/watch?v=_FkH5Tj7CaA
1998,Chance,SECHSKIES,0,True,chance (chance (지금이야)),sechskies,https://www.youtube.com/watch?v=ANrJmGW7Tqk
1998,Monade,H.O.T.,0,True,monade,h.o.t. - topic,https://www.youtube.com/watch?v=SMFtGh76xmk
1998,너에게,S.E.S.,1,True,너에게,s.e.s. - topic,https://www.youtube.com/watch?v=D7bqCovJ3wI
1998,Wedding X-Mas,H.O.T.,0,True,wedding x-mas (wedding christmas),h.o.t. - topic,https://www.youtube.com/watch?v=0Ka-vqZrXZo
1998,늘 내가 원하는 것은,SHINHWA,2,True,shinhwa (신화) - the things i always want (늘 내가 원하는 것은),shinhwasubs&cuts,https://www.youtube.com/watch?v=Gzx7ushllnI
1998,애인찾기,S.E.S.,1,True,애인찾기,s.e.s. - topic,https://www.youtube.com/watch?v=J1DNYaSSwvc
1998,으쌰! 으쌰!,SHINHWA,2,True,shinhwa (신화) - eusha! eusha! (으쌰! 으쌰!),shinhwasubs&cuts,https://www.youtube.com/watch?v=OfJ1c5j88VQ
1998,키가 자랐어요,SHINHWA,0,True,shinhwa (신화) - i grew up in height (키가 자랐어요),shinhwasubs&cuts,https://www.youtube.com/watch?v=ea0V06bqIhQ
1998,천일유혼,SHINHWA,6,True,shinhwa (신화) - 'angel' lyrics (color coded lyrics eng/rom/han/가사),shinhwa lyrics,https://www.youtube.com/watch?v=H-C5CwuVIFM
1998,여우사냥,SECHSKIES,1,True,fox hunting (여우사냥),sechskies,https://www.youtube.com/watch?v=-xeLRc5qJSI
1998,비상(Fly Up),SECHSKIES,2,True,emergency (비상),sechskies,https://www.youtube.com/watch?v=APtkInhuIFY
1998,널 보내고,박지윤,2,False,박지윤 - 소중한 사랑 2집 1998년 가요 가사포함 kpop,정일용,https://www.youtube.com/watch?v=R8LgowCIU_0
1998,내 남자,박지윤,3,True,여자가 남자에게 바라는 11가지,박지윤  parkjiyoon official,https://www.youtube.com/watch?v=K-4XXzHHOmM
1998,테크노폴리스,SECHSKIES,2,True,technopolis (technopolis),sechskies,https://www.youtube.com/watch?v=_AY0OELSVDU
1998,감사,SHINHWA,0,True,shinhwa (신화) - thanks (감사),shinhwasubs&cuts,https://www.youtube.com/watch?v=6njgzL007OA
1998,너도 나처럼,박지윤,7,False,박지윤 - 소중한 사랑 2집 1998년 가요 가사포함 kpop,정일용,https://www.youtube.com/watch?v=R8LgowCIU_0
1998,소중한 사랑,박지윤,1,False,박지윤 - 소중한 사랑 2집 1998년 가요 가사포함 kpop,정일용,https://www.youtube.com/watch?v=R8LgowCIU_0
1998,누에,SHINHWA,1,True,shinhwa (신화) - silkworm (누에),shinhwasubs&cuts,https://www.youtube.com/watch?v=P3y11llUw8k
1998,위험한 사랑 (Dangerous Love),박지윤,4,False,park jiyoon –dear my husband (남편에게) | my dangerous wife (나의 위험한 아내) ost part.3| lyrics (rom/han/eng),jenxeni pansy,https://www.youtube.com/watch?v=xqHtv4YYCuI
1998,Rock&Roll Summer!!,SHINHWA,2,True,shinhwa (신화) - rock & roll summer!,shinhwasubs&cuts,https://www.youtube.com/watch?v=bxUwgKszmOQ
1998,천사,박지윤,3,True,바래진 기억에 fade away,박지윤  parkjiyoon official,https://www.youtube.com/watch?v=a-PsznhYWTk
1998,Someday,UNIQ,1,True,j. uniq - someday (official audio),uniqlive,https://www.youtube.com/watch?v=HvcOvo4jnP4
1998,Last Night,박지윤,2,True,박지윤 - ' 그러지마요' official m.v. - 2017,박지윤  parkjiyoon official,https://www.youtube.com/watch?v=4EiTbq6uPLQ
1998,눈물,SHINHWA,1,True,shinhwa (신화) - tears (눈물),shinhwasubs&cuts,https://www.youtube.com/watch?v=ewMS7TXmwtg
1998,그대가 잠든 사이에(While You Were Sleeping),SECHSKIES,6,False,젝스키스(sechs kies) 그대가 잠든 사이에 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=KGOkG4MENDc
1998,SAY,SECHSKIES,1,True,say (say),sechskies,https://www.youtube.com/watch?v=Bhhvb3tCIdY
1998,내맘을 알고있니(Do You Know My Heart),SECHSKIES,0,True,do you know my heart (내맘을 알고있니),sechskies,https://www.youtube.com/watch?v=3fANTdcckY0
1998,Crying Game,SECHSKIES,0,True,crying game (crying game),sechskies,https://www.youtube.com/watch?v=6skX3_L-3Pk
1998,단념(Letting Go),SECHSKIES,0,True,abandonment (단념),sechskies,https://www.youtube.com/watch?v=P5g08-Z4Frc
1998,후에... (Since you've gone),H.O.T.,0,True,"후에... (since, you've gone)",h.o.t. - topic,https://www.youtube.com/watch?v=tKVuCGw3Pl8
1998,Road Fighter,SECHSKIES,0,False,"sechskies - ""road fighter"" lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=8acflIoKPQw
1998,기도(Prayer),SECHSKIES,9,True,the world where i couldn't show you (네겐 보일수 없었던 세상),sechskies,https://www.youtube.com/watch?v=GN6OxqKZleA
1998,네겐 보일수 없었던 세상(The World Where I Couldn't Show You),SECHSKIES,0,True,the world where i couldn't show you (네겐 보일수 없었던 세상),sechskies,https://www.youtube.com/watch?v=GN6OxqKZleA
1998,무모한 사랑,SECHSKIES,0,False,젝스키스(sechs kies)  무모한 사랑 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=DfYGH27amZ4
1998,Goodbye Party,SECHSKIES,1,True,goodbye party (goodbye party (슬픈축제)),sechskies,https://www.youtube.com/watch?v=75nWOEEvgk8
1998,Flying Love,SECHSKIES,0,True,flying love (flying love (천상비애(天上飛愛))),sechskies,https://www.youtube.com/watch?v=x5jF8vB_yxM
1998,Fake G'S (절대자),SECHSKIES,0,True,fake g`s (fake g`s (절대자)),sechskies,https://www.youtube.com/watch?v=--zutZfu2Dc
1998,Run Away,SECHSKIES,0,True,run away (run away),sechskies,https://www.youtube.com/watch?v=yrGF4Z0khc8
1998,Last,SECHSKIES,0,True,last (last),sechskies,https://www.youtube.com/watch?v=uF6_sPTyY2k
1999,"Exit, 20th Century - Enter the 21st... (intro)",g.o.d,2,True,"exit, 20the century-enter the 21st",g.o.d - topic,https://www.youtube.com/watch?v=pSyqyj_X1ug
1999,너의 기억,Fin.K.L,0,False,핑클 너의 기억 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=txmijG8wIvM
1999,그래서 우린,Fin.K.L,1,False,핑클 그래서 우린 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=Zf2g-5Bco8E
1999,로즈 (ROSE),Fin.K.L,2,False,핑클 로즈 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=snaUv4J5NuU
1999,Dance All Night,g.o.d,8,True,dance all night (dance all night),g.o.d - topic,https://www.youtube.com/watch?v=S-x7tKpKYKE
1999,서랍속의 동화,Fin.K.L,2,False,핑클 서랍속의 동화 (가사 첨부),hankook nore,https://www.youtube.com/watch?v=4w6RBBBWQf8
1999,기도,Fin.K.L,0,False,핑클 기도  (가사 첨부),hankook nore,https://www.youtube.com/watch?v=LpsbwUS25ZM
1998,"鬪魂 (투혼, The Spirit of Fighter)",H.O.T.,0,True,투혼 (鬪魂) (the spirit of fighter),h.o.t. - topic,https://www.youtube.com/watch?v=XpXFlbjL57Q
1998,홀로서기 (All Alone),H.O.T.,0,True,홀로서기 (all alone),h.o.t. - topic,https://www.youtube.com/watch?v=H1woKoL83OE
1999,White,Fin.K.L,1,False,fin.k.l (핑클) – 화이트 (white) lyrics (han|rom|eng|color coded) #tbs,kim jihye,https://www.youtube.com/watch?v=dC6eNVcnTRA
1998,열맞춰! (Line Up!),H.O.T.,0,True,열맞춰! (line up!),h.o.t. - topic,https://www.youtube.com/watch?v=gOMJxap_8II
1998,You Got Gun?,H.O.T.,0,True,you got gun?,h.o.t. - topic,https://www.youtube.com/watch?v=gmOP5axhUZI
1998,우리들의 맹세 (The promise of H.O.T),H.O.T.,1,False,"h.o.t (에이치오티) - ""promise of h.o.t"" (우리들의 맹세) lyrics [color coded han/rom/eng]",ksector,https://www.youtube.com/watch?v=29U52i5KHmg
1998,"소년이여! 신화가 되어라 (Boys, Be a Legend!)",H.O.T.,0,True,"소년이여! 신화가 되어라 (boys, be a legend!)",h.o.t. - topic,https://www.youtube.com/watch?v=aDFpbpnMSZA
1999,Waiting for you,Fin.K.L,0,False,fin.k.l (핑클) - waiting for you [color coded lyrics han/rom/eng],ksector lyrics,https://www.youtube.com/watch?v=VIXUnYaBJQA
1998,하나라는 아름다운 느낌 (Unity is as beautiful as one),H.O.T.,0,True,하나라는 아름다운 느낌 (unity is as beautiful as one),h.o.t. - topic,https://www.youtube.com/watch?v=-P68eXyXYtc
1999,I'm right now,Fin.K.L,1,False,핑클  i'm right now (가사 첨부),hankook nore,https://www.youtube.com/watch?v=Jf07T0-iFM8
1999,Kiss me? Alright!,Fin.K.L,3,False,핑클 kiss me alright (가사 첨부),hankook nore,https://www.youtube.com/watch?v=k5zJVGAz6LM
1999,Maybe,Fin.K.L,1,False,핑클(fin.k.l) maybe (가사 첨부),all nore,https://www.youtube.com/watch?v=jTf1TFIa4N0
1999,고마워 미안해,H.O.T.,6,True,"talk '고마워, 미안해'",h.o.t. - topic,https://www.youtube.com/watch?v=7Pcoew_SXeU
1999,Go 3(재원이의자작곡),H.O.T.,2,True,h.o.t.세종콘서트 이재원 자작곡 go3,forever h.o.t. 포에버에쵸티,https://www.youtube.com/watch?v=5bnxl8vP6F0
